Mode,NLC,ASC,Station,Coverage,Source,Mon-Thu Entries,Fri Entries,Sat Entries,Sun Entries,Mon-Thu Exits,Fri Exits,Sat Exits,Sun Exits,En/Ex
LU,752,WPKu,Wembley Park,Station entry / exit,Gateline,17402,20104,18391,12475,17187,19866,17868,11983,7894562
LU,753,WACu,West Acton,Station entry / exit,Gateline,1754,1753,1334,812,1725,1603,1239,841,709948
LU,755,WBTu,West Brompton,Station entry / exit,Manual Count,6364,6367,6042,3728,6531,6002,5733,3360,2734932
LU,756,WFYu,West Finchley,Station entry / exit,Gateline,1786,1727,1303,879,1694,1528,1150,862,705772
LU,757,WHMu,West Ham,Station entry / exit,Gateline,6745,6808,4283,3173,6770,6751,4139,3110,2718754
LU,758,WHDu,West Hampstead LU,Station entry / exit,Gateline,10964,10931,9311,6265,10219,9890,8423,5888,4472941
LU,759,WHRu,West Harrow,Station entry / exit,Scaled,1231,1392,1055,676,1375,1432,1129,865,560543
LU,760,WKNu,West Kensington,Station entry / exit,Gateline,4854,5051,4311,3202,4618,4390,3591,2996,2028753
LU,762,WRPu,West Ruislip,Station entry / exit,Gateline,1685,1640,1438,825,1745,1648,1363,823,708681
LU,754,WBPu,Westbourne Park,Station entry / exit,Gateline,4530,4626,3490,2225,4266,4228,3220,2234,1823204
LU,761,WMSu,Westminster,Station entry / exit,Gateline,17557,15340,16572,12037,18418,16311,17146,11840,7699650
LU,764,WCTu,White City,Station entry / exit,Gateline,11840,10260,8191,5393,11328,10045,8056,5412,4624537
LU,763,WCLu,Whitechapel,Station entry / exit,Gateline,15538,15168,9968,6934,15385,15057,10053,7019,6205116
LU,765,WLGu,Willesden Green,Station entry / exit,Gateline,8044,8228,6748,4885,7935,7743,6143,4808,3384122
LU,766,WJNu,Willesden Junction,Station entry / exit,Gateline,6479,6481,4838,3147,6362,6149,4523,3178,2631398
LU,767,WIMu,Wimbledon,LU boarding / alighting,Scaled,16583,15949,14063,8423,17177,16558,14561,9069,7056386
LU,768,WMPu,Wimbledon Park,Station entry / exit,Gateline,2555,2400,2115,1257,2553,2331,2038,1344,1053984
LU,770,WGNu,Wood Green,Station entry / exit,Gateline,12368,13406,12284,8393,11985,12810,11952,8259,5433153
LU,599,WDLu,Wood Lane,Station entry / exit,Gateline,4727,4596,5027,2902,5242,5144,5649,3263,2194795
LU,769,WFDu,Woodford,Station entry / exit,Gateline,6481,6284,5441,3378,6364,5909,4924,3330,2663457
LU,771,WSPu,Woodside Park,Station entry / exit,Scaled,3612,3506,2762,1868,6119,5782,4509,3682,2015727
LU,831,NIEu,Nine Elms,Station entry / exit,Gateline,2754,2933,2738,1998,2461,2530,2348,1811,1163116
LU,832,BPSu,Battersea Power Station,Station entry / exit,Gateline,5262,5337,4518,3109,4911,5016,4369,2905,2177911
LO,1404,ACCr,Acton Central,Station entry / exit,Gateline,2486,2487,1969,1333,2432,2294,1805,1315,1167174
LO,5397,ANYr,Anerley,Station entry / exit,Scaled,1725,1548,1046,1325,1762,1517,887,1471,821918
LO,514,BKGu,Barking,LO boarding / alighting,Scale_earlier,4192,4847,3675,2709,4259,4390,3165,2463,2081131
LO,5420,BAKr,Battersea Park,LO boarding / alighting,Loadweigh,20,23,0,10,14,13,0,0,6842
LO,6961,BETr,Bethnal Green LO,Station entry / exit,Gateline,2054,2089,1660,1282,2228,2312,1859,1373,1047192
LO,522,BHRu,Blackhorse Road,LO boarding / alighting,Scaled,2947,2945,2757,1659,3357,3327,3234,1882,1550700
LO,5404,BCYr,Brockley,Station entry / exit,Gateline,4778,5115,4536,2993,4400,4342,3743,2886,2280512
LO,1437,BSYr,Brondesbury,Station entry / exit,Gateline,3896,4101,3406,2054,3705,3746,2971,1943,1838214
LO,1438,BSPr,Brondesbury Park,Station entry / exit,Scaled,2202,2296,1138,825,2172,2246,1115,928,984626
LO,6958,BCVr,Bruce Grove,Station entry / exit,Manual Count,3116,2720,2113,2224,2698,2561,1829,1752,1378067
LO,6913,BHKr,Bush Hill Park,Station entry / exit,Scaled,1767,1581,1402,856,1489,1278,1033,760,753674
LO,1395,BSHr,Bushey,LO boarding / alighting,Scaled,551,644,1190,469,989,608,1022,401,396594
LO,1439,CIRr,Caledonian Road & Barnsbury,Station entry / exit,Manual Count,2678,3209,2290,1351,2806,3278,2176,1475,1350071
LO,6962,CBHr,Cambridge Heath,Station entry / exit,Manual Count,1806,1756,1471,1240,1805,1871,1514,1235,889589
LO,1440,CMDr,Camden Road,Station entry / exit,Gateline,5650,5743,5293,3384,5772,6066,5723,3585,2853286
